,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
10785,3.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,3.0
10790,4.0,1.0,4.0,1.0,0.0,2.0,5.0,3.0,1.0,3.0,0.0,3.0,4.0,3.0,1.0,5.0,1.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,2.0,4.0,0.0,2.0,4.0,4.0
10794,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0
10796,4.0,4.0,4.0,0.0,0.0,4.0,3.0,1.0,4.0,4.0,0.0,0.0,4.0,3.0,3.0,0.0,3.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,4.0
10798,4.0,4.0,4.0,0.0,1.0,3.0,4.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,4.0,4.0,4.0
10799,4.0,3.0,4.0,1.0,0.0,3.0,3.0,4.0,3.0,3.0,0.0,4.0,4.0,2.0,1.0,3.0,1.0,0.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,4.0
10800,4.0,4.0,4.0,0.0,0.0,3.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1.0,3.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,4.0
10811,3.0,1.0,3.0,3.0,0.0,2.0,4.0,4.0,2.0,3.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,4.0,4.0
10816,4.0,3.0,4.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,4.0
10818,4.0,4.0,4.0,0.0,2.0,4.0,2.0,1.0,3.0,2.0,0.0,4.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,4.0
10823,3.0,1.0,4.0,1.0,0.0,3.0,0.0,4.0,3.0,4.0,0.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0
10825,4.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,0.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,2.0
10826,4.0,2.0,4.0,1.0,1.0,4.0,2.0,3.0,2.0,3.0,0.0,4.0,1.0,5.0,0.0,5.0,4.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,4.0
10829,4.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,4.0,4.0
10830,2.0,1.0,4.0,0.0,0.0,1.0,2.0,4.0,4.0,4.0,0.0,4.0,4.0,2.0,0.0,0.0,2.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0
10832,4.0,3.0,4.0,1.0,0.0,3.0,2.0,4.0,2.0,3.0,0.0,3.0,4.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,4.0
10834,4.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,0.0,4.0,2.0,3.0,0.0,1.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,3.0,4.0
10835,4.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0
10836,2.0,5.0,4.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,1.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0
10837,4.0,1.0,4.0,1.0,0.0,1.0,3.0,2.0,2.0,3.0,0.0,4.0,4.0,1.0,1.0,0.0,3.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,4.0
10845,4.0,4.0,4.0,0.0,0.0,2.0,2.0,3.0,4.0,4.0,0.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,4.0,4.0
10851,4.0,2.0,4.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,0.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,3.0,4.0
10853,4.0,4.0,3.0,1.0,3.0,4.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0
