,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
28679,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,4.0,1.0
28683,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0
28686,0.0,0.0,0.0,4.0,4.0,0.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,4.0,0.0
28691,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,1.0,1.0,4.0,0.0,4.0,0.0
28700,0.0,1.0,0.0,4.0,3.0,1.0,2.0,2.0,4.0,0.0,4.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,0.0,1.0,0.0,4.0,4.0,2.0,0.0,1.0,2.0,2.0,4.0,0.0
28703,0.0,0.0,0.0,4.0,4.0,0.0,3.0,3.0,4.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0
28704,0.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,3.0,0.0,4.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,4.0,0.0
28706,0.0,2.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,0.0,3.0,4.0,1.0,3.0,3.0,1.0,0.0,4.0,0.0
28707,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0
28708,0.0,1.0,0.0,3.0,4.0,1.0,4.0,3.0,4.0,0.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0
28720,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,4.0,3.0,4.0,4.0,0.0,3.0,4.0,0.0
28727,0.0,0.0,1.0,4.0,4.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,4.0,2.0,0.0,4.0,0.0
28728,0.0,1.0,1.0,4.0,4.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,4.0,1.0
28730,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
28743,0.0,2.0,0.0,4.0,4.0,0.0,4.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,3.0,0.0,4.0,0.0
28747,0.0,0.0,0.0,4.0,3.0,1.0,3.0,2.0,3.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0
28761,0.0,0.0,0.0,3.0,4.0,0.0,4.0,4.0,4.0,0.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,0.0,5.0,4.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,0.0
28767,0.0,0.0,0.0,4.0,3.0,1.0,4.0,3.0,3.0,0.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,0.0,3.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0
28775,0.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0
