Partidos_ID;Ans_1;Ans_2;Ans_3;Ans_4;Ans_5;Ans_6;Ans_7;Ans_8;Ans_9;Ans_10;Ans_11;Ans_12;Ans_13;Ans_14;Ans_15;Ans_16;Ans_17;Ans_18;Ans_19;Ans_20;Ans_21;Ans_22;Ans_23;Ans_24;Ans_25;Ans_26;Ans_27;Ans_28;Ans_29;Ans_30;X;Y;Z;Country;country
DUP;1;1;2;5;4;2;5;99;2;2;2;4;3;2;4;4;99;1;3;3;5;5;5;99;5;1;4;4;4;2;0.428571429;-0.75;-0.75;Northern Ireland;Northern Ireland
SF;5;1;4;5;2;3;5;4;5;5;5;2;4;5;5;3;4;4;1;2;1;3;4;2;1;5;1;1;1;5;-0.857142857;0.928571429;0;Northern Ireland;Northern Ireland
SDLP;5;4;5;4;2;5;3;4;5;4;4;2;5;4;2;3;4;4;2;2;2;4;4;99;1;1;2;2;1;4;-0.642857143;0.428571429;0.583333333;Northern Ireland;Northern Ireland
UUP;1;2;2;5;4;4;5;99;4;3;2;4;2;2;2;4;1;2;4;3;3;3;4;99;5;1;5;4;1;2;0.285714286;-0.5;-0.5;Northern Ireland;Northern Ireland
Alliance;4;3;5;2;2;4;3;99;4;4;3;2;3;3;3;4;4;4;2;2;2;3;4;99;3;1;1;2;1;5;-0.357142857;0.357142857;0.5;Northern Ireland;Northern Ireland
PO;5;3;5;1;2;5;2;1;1;3;4;2;2;4;2;4;4;4;2;2;4;4;4;4;2;5;3;2;2;2;-0.1;-0.142857143;0.785714286;Poland;Poland
PiS;1;2;4;5;2;4;3;1;5;3;5;2;4;5;3;4;2;2;4;4;5;5;5;3;4;2;5;2;5;4;-0.7;0.785714286;0;Poland;Poland
PSL;5;2;4;3;1;5;3;4;4;3;4;2;4;4;2;4;2;4;2;2;4;4;4;2;4;2;4;2;4;4;-0.4;0.5;0.357142857;Poland;Poland
SLD.UP;5;4;5;2;1;5;2;3;5;3;5;1;4;5;3;4;4;4;4;99;1;2;4;2;2;4;1;4;1;1;-0.8;-0.785714286;0.714285714;Poland;Poland
SP;1;2;4;5;3;3;3;1;4;2;3;1;3;4;4;4;3;2;2;4;4;5;5;2;5;2;4;2;4;4;-0.3;0.571428571;-0.142857143;Poland;Poland
Europa.;5;4;4;1;2;5;4;2;3;2;3;3;3;4;3;3;4;4;4;2;1;1;1;2;2;5;1;4;1;1;0;-0.857142857;0.714285714;Poland;Poland
NP;1;1;4;5;5;1;2;4;1;1;1;5;1;2;5;5;2;5;4;4;5;5;2;3;5;3;4;3;2;4;0.9;0.571428571;-0.714285714;Poland;Poland
RN;1;1;2;5;99;1;4;4;2;2;4;4;2;3;5;4;1;3;4;99;5;5;5;99;4;2;5;1;4;5;0.2;0.857142857;-0.833333333;Poland;Poland
PR;1;1;4;4;4;4;4;2;3;1;1;2;2;3;4;4;4;4;99;2;5;5;5;99;4;2;4;2;2;4;0.3;0.357142857;-0.214285714;Poland;Poland
