,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
3984,5.0,5.0,4.0,5.0,0.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
3986,1.0,1.0,4.0,3.0,0.0,1.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,0.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
3995,2.0,1.0,3.0,4.0,0.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0
3998,4.0,4.0,4.0,0.0,0.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
4001,2.0,1.0,3.0,2.0,0.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,0.0,3.0,3.0,4.0,3.0,2.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0
4008,3.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,0.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0
4009,2.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,0.0,3.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0
4012,2.0,1.0,3.0,3.0,0.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,0.0,2.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0
4017,4.0,2.0,3.0,0.0,0.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,0.0,1.0,4.0,2.0,2.0,4.0,0.0,1.0,4.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0
4021,5.0,1.0,3.0,1.0,0.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,0.0,3.0,4.0,4.0,2.0,3.0,4.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0
4025,1.0,1.0,4.0,1.0,0.0,3.0,0.0,4.0,2.0,4.0,4.0,0.0,3.0,1.0,1.0,4.0,4.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0
4026,3.0,2.0,4.0,1.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,3.0,0.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0
4028,2.0,2.0,4.0,2.0,0.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,0.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
4030,1.0,1.0,1.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,3.0
4031,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,0.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0
4033,3.0,1.0,3.0,3.0,0.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,0.0,3.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
4049,0.0,1.0,4.0,4.0,0.0,0.0,3.0,4.0,1.0,3.0,1.0,0.0,4.0,1.0,3.0,4.0,4.0,1.0,3.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0
4050,1.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
4054,2.0,0.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
4058,2.0,1.0,4.0,3.0,0.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
