,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
10583,3.0,2.0,4.0,1.0,1.0,3.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,4.0,3.0
10584,1.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,4.0,3.0,4.0,0.0,3.0,4.0,4.0,1.0,3.0,0.0,4.0,1.0,1.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0
10585,2.0,5.0,4.0,3.0,0.0,0.0,3.0,5.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,1.0,4.0,0.0,4.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0
10598,4.0,3.0,4.0,1.0,0.0,3.0,3.0,3.0,4.0,3.0,3.0,0.0,3.0,4.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
10607,3.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0
10608,3.0,3.0,3.0,0.0,0.0,4.0,3.0,4.0,3.0,2.0,4.0,0.0,3.0,4.0,3.0,0.0,4.0,0.0,4.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0
10614,3.0,2.0,4.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,0.0,3.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0
10618,4.0,4.0,4.0,1.0,0.0,4.0,1.0,4.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,2.0,4.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0
10619,3.0,1.0,4.0,0.0,0.0,3.0,4.0,4.0,3.0,1.0,4.0,0.0,2.0,4.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,0.0,2.0,4.0,0.0
10627,3.0,2.0,4.0,0.0,0.0,4.0,1.0,2.0,4.0,3.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
10628,2.0,3.0,4.0,3.0,0.0,1.0,4.0,2.0,4.0,4.0,3.0,0.0,1.0,3.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0
10629,0.0,4.0,4.0,4.0,0.0,3.0,4.0,2.0,4.0,3.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
10630,2.0,4.0,3.0,3.0,0.0,2.0,4.0,3.0,4.0,2.0,1.0,0.0,1.0,4.0,3.0,0.0,4.0,1.0,4.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,3.0,1.0
10636,3.0,0.0,4.0,3.0,1.0,3.0,1.0,2.0,4.0,3.0,4.0,0.0,1.0,4.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0
10639,1.0,1.0,1.0,3.0,1.0,3.0,3.0,0.0,3.0,1.0,4.0,0.0,1.0,4.0,4.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0
10642,1.0,1.0,4.0,1.0,0.0,1.0,4.0,1.0,4.0,4.0,4.0,0.0,3.0,4.0,4.0,1.0,4.0,0.0,4.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0
10649,3.0,4.0,4.0,1.0,0.0,3.0,2.0,3.0,4.0,4.0,3.0,1.0,2.0,3.0,4.0,1.0,4.0,1.0,4.0,0.0,1.0,1.0,4.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0
10651,3.0,3.0,4.0,4.0,0.0,1.0,4.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,1.0,4.0,0.0,4.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
10657,1.0,2.0,4.0,4.0,1.0,0.0,4.0,0.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,0.0,4.0,0.0,4.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
10659,1.0,2.0,4.0,3.0,2.0,1.0,3.0,1.0,4.0,3.0,4.0,0.0,2.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0
10662,4.0,1.0,4.0,3.0,0.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0
10664,4.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
10671,1.0,1.0,4.0,2.0,0.0,1.0,3.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0
10672,4.0,3.0,4.0,1.0,1.0,3.0,0.0,3.0,4.0,4.0,4.0,0.0,4.0,3.0,4.0,0.0,4.0,0.0,4.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0
10684,4.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,0.0,4.0,2.0,1.0,4.0,4.0,1.0,3.0,1.0,4.0,3.0,0.0,2.0,3.0,4.0,2.0,0.0,0.0,2.0,3.0,0.0
10685,3.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,0.0,0.0,4.0,3.0,1.0,4.0,0.0,4.0,0.0,1.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0
10686,0.0,2.0,4.0,3.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0
